# monster-name prefix -> compute-animation pool (loader_frames.txt ==<key>); raids route by group data, the sea by lens
Zulrah	zulrah
Cerberus	cerberus
Brutus	brutus
Demonic Brutus	dbrutus
Mad Angel	madangel
Dusk	guardians
Dawn	guardians
Kraken	kraken
Thermonuclear smoke devil	thermy
Vet'ion	vetion
Calvar'ion	vetion
King Black Dragon	kbd
Kalphite Queen	kq
Phantom Muspah	muspah
Abyssal Sire	sire
Ahrim the Blighted	barrows
Blood Moon	moons
Blue Moon	moons
Branda the Fire Queen	titans
Corrupted Bear	hunllef
Corrupted Dark Beast	hunllef
Corrupted Dragon	hunllef
Corrupted Hunllef	hunllef
Cruor	nex
Crystalline Bear	hunllef
Crystalline Dark Beast	hunllef
Crystalline Dragon	hunllef
Crystalline Hunllef	hunllef
Dagannoth Prime	dks
Dagannoth Rex	dks
Dagannoth Supreme	dks
Demonic gorilla	gorilla
Dharok the Wretched	barrows
Eclipse Moon	moons
Eldric the Ice King	titans
Fire elemental (Royal Titans)	titans
Fremennik warband archer	sol
Fremennik warband berserker	sol
Fremennik warband seer	sol
Fumus	nex
Glacies	nex
Guthan the Infested	barrows
Ice elemental (Royal Titans)	titans
Jal-Ak	zuk
Jal-ImKot	zuk
Jal-MejJak	zuk
Jal-MejRah	zuk
Jal-Nib	zuk
Jal-Xil	zuk
Jal-Zek	zuk
JalTok-Jad	zuk
Javelin Colossus	sol
Judge of Yama	yama
Karil the Tainted	barrows
Ket-Zek	jad
Maggot King	maggot
Manticore	sol
Minotaur (Fortis Colosseum)	sol
Nex	nex
Respiratory system	sire
Serpent shaman	sol
Shockwave Colossus	sol
Sol Heredit	sol
The Hueycoatl	huey
Tok-Xil	jad
Torag the Corrupted	barrows
Tormented Demon	tormented
Tz-Kek	jad
Tz-Kih	jad
TzKal-Zuk	zuk
TzTok-Jad	jad
Umbra	nex
Verac the Defiled	barrows
Void Flare	yama
Yama	yama
Yt-HurKot	jad
Yt-MejKot	jad
Scurrius	scurrius
Giant rat (Scurrius)	scurrius
Obor	obor
Bryophyta	bryophyta
Gemstone Crab	crab
Duke Sucellus	duke
Vardorvis	vardorvis
The Leviathan	leviathan
The Whisperer	whisperer
Callisto	callisto
Artio	artio
Venenatis	venenatis
Spindel	spindel
Scorpia	scorpia
Chaos Elemental	chaos
Green dragon	drgreen
Baby green dragon	drgreen
Brutal green dragon	drgreen
Blue dragon	drblue
Baby blue dragon	drblue
Brutal blue dragon	drblue
Frost dragon	drblue
Red dragon	drred
Baby red dragon	drred
Brutal red dragon	drred
Lava dragon	drred
Revenant dragon	drred
Black dragon	drblack
Baby black dragon	drblack
Brutal black dragon	drblack
Bronze dragon	drmetal
Iron dragon	drmetal
Steel dragon	drmetal
Mithril dragon	drmetal
Adamant dragon	drmetal
Rune dragon	drmetal
